# Xlam,PX,Ylam,PY
1.171548117154811663e+00,2.833066691762343645e-02,1.171266233766233622e+00,7.414689286619430275e-02
1.173479240424847081e+00,2.931096681096680839e-02,1.173538961038961048e+00,7.803401700072612468e-02
1.175732217573221661e+00,3.225186649099692771e-02,1.175487012987012969e+00,8.396188130588712328e-02
1.178146121660765822e+00,3.421246627768367160e-02,1.177922077922078037e+00,9.183330767831406061e-02
1.180560025748310204e+00,3.617306606437040856e-02,1.180357142857142883e+00,9.377686974557995769e-02
1.182973929835854365e+00,3.813366585105715245e-02,1.182792207792207950e+00,9.960755594737766283e-02
1.185548760862568329e+00,4.391743522178304798e-02,1.185227272727272796e+00,1.045636392189057406e-01
1.187962664950112712e+00,4.391743522178304798e-02,1.187662337662337642e+00,1.124350655913326502e-01
1.190376569037656873e+00,4.587803500846979188e-02,1.190097402597402709e+00,1.172939707594974207e-01
1.192790473125201034e+00,4.979923458184327967e-02,1.192532467532467555e+00,1.261371781655572788e-01
1.195204377212745417e+00,5.175983436853002356e-02,1.194967532467532401e+00,1.319678643673550256e-01
1.197296427421950415e+00,5.362240416588243130e-02,1.197240259740259605e+00,1.408110717734148698e-01
1.199549404570324995e+00,5.656330384591253674e-02,1.199188311688311748e+00,1.457671550449429476e-01
1.201963308657869378e+00,6.048450341928602453e-02,1.201623376623376593e+00,1.546103624510027919e-01
1.204538139684583120e+00,6.146480331262939995e-02,1.204220779220779303e+00,1.614128296864334733e-01
1.206952043772127281e+00,6.920917247004203243e-02,1.206655844155844148e+00,1.712278181261263077e-01
1.209365947859671664e+00,7.313037204341552022e-02,1.209090909090909216e+00,1.800710255321861797e-01
1.211940778886385628e+00,7.607127172344563260e-02,1.211525974025974062e+00,1.918295760391449112e-01
1.214354682973929789e+00,8.185504109417152119e-02,1.214123376623376549e+00,1.987292213779388583e-01
1.216929514000643753e+00,8.871714034757513523e-02,1.216558441558441395e+00,2.095159908512646552e-01
1.219343418088187914e+00,8.969744024091849677e-02,1.218993506493506462e+00,2.193309792909574896e-01
1.221435468297392912e+00,9.450090971830102382e-02,1.221428571428571308e+00,2.310895297979162211e-01
